question,n,fitness_type,pop_size,max_generations,Pc,Pm,best_run_index,chromosome,total_weight,total_value,best_fitness
ch_mutation_prob,60,stupid,100,400,0.8,0.05,1,1110011111 1110111111 1011111110 1110111101 0110111111 1010110111,130.0,264.0,5.500659344623943e+37
ch_mutation_prob,60,simple,100,400,0.8,0.1,0,0110011111 1110011110 1101111111 1110110101 0110111110 1011110111,130.0,263.0,263.0
ch_mutation_prob,60,full,100,400,0.8,0.1,0,1111111111 1111111111 1111111111 1111111111 1111111111 1111111111,187.0,340.0,5.546974896305676e+43
ch_mutation_prob,60,stupid,100,400,0.8,0.1,3,1110010111 1110111111 1110111110 1100111111 0110111111 1011110111,130.0,262.0,4.2114423107277054e+37
ch_mutation_prob,60,simple,100,400,0.8,0.3,0,1110111011 0111110110 1100111111 0010111111 0111011110 1010111111,130.0,253.0,253.0
ch_mutation_prob,60,full,100,400,0.8,0.3,3,1111111110 1111111111 1101110111 1111111101 1011101111 1011111101,169.0,309.0,2.201180514407014e+39
ch_mutation_prob,60,stupid,100,400,0.8,0.3,4,1110111111 1100011111 1010011110 1110111101 1111011111 1100111101,128.0,250.0,2.0890090827022355e+36
ch_mutation_prob,60,simple,100,400,0.8,0.5,2,1100011110 1011111110 1111110011 1111010001 0100111110 1111100101,130.0,245.0,245.0
ch_mutation_prob,60,full,100,400,0.8,0.5,2,0111011111 1101101110 1001110011 1111111001 1111101011 1101111101,143.0,262.0,4.549397557884867e+33
ch_mutation_prob,60,stupid,100,400,0.8,0.5,2,1111010111 1111101111 1011001011 1101111101 1110111010 1110101001,130.0,244.0,1.5667568120266762e+35
ch_mutation_prob,100,simple,100,400,0.8,0.05,5,1110110111 1010111111 1111110110 0111111001 1001111111 1000101111 1101111110 1101011111 1110111001 0111111111,213.0,434.0,434.0
ch_mutation_prob,100,full,100,400,0.8,0.05,0,1111111111 1111111111 1111111111 1111111111 1111111111 1111111111 1111111111 1111111111 1111111111 1111111111,305.0,556.0,2.957590283075378e+72
ch_mutation_prob,100,stupid,100,400,0.8,0.05,4,1011110111 1011110111 1111110100 1111111001 1011111111 1001101111 1101111110 1101011111 1110111001 1110111111,213.0,431.0,2.5668701047010263e+60
ch_mutation_prob,100,simple,100,400,0.8,0.1,4,1110110011 1110111111 1111111110 0110101011 1101011111 1000110110 1001111111 1100010111 1111011011 0110111111,212.0,424.0,424.0
ch_mutation_prob,100,full,100,400,0.8,0.1,2,1111011111 1111111111 1111111111 1111111111 1101111111 1111111111 1111111111 1111111111 1111011111 1111111111,298.0,543.0,4.107764282049137e+70
ch_mutation_prob,100,stupid,100,400,0.8,0.1,4,1010111111 1011110111 1111110110 1101101111 1010101111 1101101111 1111111110 1100011111 1110111001 1110101111,213.0,423.0,3.342278782162795e+59
ch_mutation_prob,100,simple,100,400,0.8,0.3,5,1110110011 1011111111 1101010100 1111111111 0100111111 1111010101 1000011111 1100110111 0101011111 0111110011,213.0,409.0,409.0
ch_mutation_prob,100,full,100,400,0.8,0.3,3,1110111111 1011111101 1111110011 1111111111 1111111101 1011111011 1111111101 1111110111 1101111111 1111110111,270.0,493.0,1.705564862537673e+64
ch_mutation_prob,100,stupid,100,400,0.8,0.3,3,1111111110 1111111111 1010110110 0100111111 1111010011 1000111011 1011111111 1100111110 0111110111 0010110110,213.0,409.0,2.396293155204052e+57
ch_mutation_prob,100,simple,100,400,0.8,0.5,2,1011101101 0100011110 1010000111 0011110101 1000111101 1011111101 1011111111 0101111111 1110010111 0011111111,213.0,390.0,390.0
ch_mutation_prob,100,full,100,400,0.8,0.5,5,1111010101 1011011111 1111101011 1111011101 1110000101 1101110010 1110111100 1111011111 0110111110 0110110100,221.0,410.0,4.677241444426068e+52
ch_mutation_prob,100,stupid,100,400,0.8,0.5,1,1110010101 1111011101 1111001101 1100111111 0111101100 0111001110 0001111110 1111001110 1101111111 1110110111,213.0,395.0,3.093413653720944e+55
